fra;sg;cage_scol;cl_age18;pop;P;T;Ti;Tp;Td
FR;2021-04-06-2021-04-12;[00-03);02;2153747,25;1575,00;18284,00;73,13;8,61;848,94
FR;2021-04-07-2021-04-13;[00-03);02;2153747,25;1501,00;16891,00;69,69;8,89;784,26
FR;2021-04-08-2021-04-14;[00-03);02;2153747,25;1445,00;15871,00;67,09;9,10;736,90
FR;2021-04-09-2021-04-15;[00-03);02;2153747,25;1380,00;15199,00;64,07;9,08;705,70
FR;2021-04-10-2021-04-16;[00-03);02;2153747,25;1319,00;14361,00;61,24;9,18;666,79
FR;2021-04-11-2021-04-17;[00-03);02;2153747,25;1284,00;14002,00;59,62;9,17;650,12
FR;2021-04-12-2021-04-18;[00-03);02;2153747,25;1278,00;13792,00;59,34;9,27;640,37
FR;2021-04-13-2021-04-19;[00-03);02;2153747,25;1248,00;13181,00;57,95;9,47;612,00
FR;2021-04-14-2021-04-20;[00-03);02;2153747,25;1239,00;12699,00;57,53;9,76;589,62
FR;2021-04-15-2021-04-21;[00-03);02;2153747,25;1251,00;12376,00;58,08;10,11;574,63
FR;2021-04-16-2021-04-22;[00-03);02;2153747,25;1263,00;11976,00;58,64;10,55;556,05
FR;2021-04-17-2021-04-23;[00-03);02;2153747,25;1258,00;11811,00;58,41;10,65;548,39
FR;2021-04-18-2021-04-24;[00-03);02;2153747,25;1284,00;11632,00;59,62;11,04;540,08
FR;2021-04-19-2021-04-25;[00-03);02;2153747,25;1290,00;11593,00;59,90;11,13;538,27
FR;2021-04-20-2021-04-26;[00-03);02;2153747,25;1313,00;11476,00;60,96;11,44;532,84
FR;2021-04-21-2021-04-27;[00-03);02;2153747,25;1299,00;11513,00;60,31;11,28;534,56
FR;2021-04-22-2021-04-28;[00-03);02;2153747,25;1283,00;11510,00;59,57;11,15;534,42
FR;2021-04-23-2021-04-29;[00-03);02;2153747,25;1276,00;11754,00;59,25;10,86;545,75
FR;2021-04-24-2021-04-30;[00-03);02;2153747,25;1273,00;12027,00;59,11;10,58;558,42
FR;2021-04-25-2021-05-01;[00-03);02;2153747,25;1166,00;11366,00;54,14;10,26;527,73
FR;2021-04-26-2021-05-02;[00-03);02;2153747,25;1146,00;11345,00;53,21;10,10;526,76
FR;2021-04-27-2021-05-03;[00-03);02;2153747,25;1115,00;11749,00;51,77;9,49;545,51
FR;2021-04-28-2021-05-04;[00-03);02;2153747,25;1102,00;12315,00;51,17;8,95;571,79
FR;2021-04-29-2021-05-05;[00-03);02;2153747,25;1079,00;12497,00;50,10;8,63;580,24
FR;2021-04-30-2021-05-06;[00-03);02;2153747,25;1099,00;12838,00;51,03;8,56;596,08
FR;2021-05-01-2021-05-07;[00-03);02;2153747,25;1112,00;13309,00;51,63;8,36;617,95
FR;2021-05-02-2021-05-08;[00-03);02;2153747,25;1116,00;13417,00;51,82;8,32;622,96
