epci;sg;cage65;cl_age65;pop;P;T;Ti;Tp;Td
200023414;2021-01-16-2021-01-22;[00-65);64;387225,75;650,65;9984,27;168,03;6,52;2578,41
200023414;2021-01-17-2021-01-23;[00-65);64;387225,75;665,82;10109,59;171,94;6,59;2610,77
200023414;2021-01-18-2021-01-24;[00-65);64;387225,75;662,83;10099,92;171,17;6,56;2608,28
200023414;2021-01-19-2021-01-25;[00-65);64;387225,75;628,83;10138,50;162,39;6,20;2618,24
200023414;2021-01-20-2021-01-26;[00-65);64;387225,75;614,83;10252,23;158,78;6,00;2647,61
200023414;2021-01-21-2021-01-27;[00-65);64;387225,75;633,90;10512,42;163,70;6,03;2714,80
200023414;2021-01-22-2021-01-28;[00-65);64;387225,75;624,17;10564,16;161,19;5,91;2728,17
200023414;2021-01-23-2021-01-29;[00-65);64;387225,75;612,49;10461,65;158,17;5,85;2701,69
200023414;2021-01-24-2021-01-30;[00-65);64;387225,75;607,33;10474,60;156,84;5,80;2705,04
200023414;2021-01-25-2021-01-31;[00-65);64;387225,75;598,32;10377,93;154,51;5,77;2680,07
200023414;2021-01-26-2021-02-01;[00-65);64;387225,75;602,34;10426,33;155,55;5,78;2692,57
200023414;2021-01-27-2021-02-02;[00-65);64;387225,75;621,56;10505,73;160,52;5,92;2713,08
200023414;2021-01-28-2021-02-03;[00-65);64;387225,75;602,49;10485,87;155,59;5,75;2707,95
